Date,Open,High,Low,Close,Adj Close,Volume
04/01/1960,0.0452,0.0452,0.0452,0.0452,0.0452,0
05/01/1960,0.0455,0.0455,0.0455,0.0455,0.0455,0
06/01/1960,0.0468,0.0468,0.0468,0.0468,0.0468,0
07/01/1960,0.0463,0.0463,0.0463,0.0463,0.0463,0
08/01/1960,0.0459,0.0459,0.0459,0.0459,0.0459,0
11/01/1960,0.0454,0.0454,0.0454,0.0454,0.0454,0
12/01/1960,0.0454,0.0454,0.0454,0.0454,0.0454,0
13/01/1960,0.0456,0.0456,0.0456,0.0456,0.0456,0
14/01/1960,0.0451,0.0451,0.0451,0.0451,0.0451,0
15/01/1960,0.0449,0.0449,0.0449,0.0449,0.0449,0
18/01/1960,0.0437,0.0437,0.0437,0.0437,0.0437,0
19/01/1960,0.0431,0.0431,0.0431,0.0431,0.0431,0
20/01/1960,0.043,0.043,0.043,0.043,0.043,0
21/01/1960,0.0427,0.0427,0.0427,0.0427,0.0427,0
22/01/1960,0.0412,0.0412,0.0412,0.0412,0.0412,0
25/01/1960,0.0412,0.0412,0.0412,0.0412,0.0412,0
26/01/1960,0.0404,0.0404,0.0404,0.0404,0.0404,0
27/01/1960,0.0399,0.0399,0.0399,0.0399,0.0399,0
28/01/1960,0.0392,0.0392,0.0392,0.0392,0.0392,0
29/01/1960,0.0399,0.0399,0.0399,0.0399,0.0399,0
01/02/1960,0.04,0.04,0.04,0.04,0.04,0
02/02/1960,0.0396,0.0396,0.0396,0.0396,0.0396,0
03/02/1960,0.04,0.04,0.04,0.04,0.04,0
04/02/1960,0.0395,0.0395,0.0395,0.0395,0.0395,0
05/02/1960,0.038,0.038,0.038,0.038,0.038,0
08/02/1960,0.0355,0.0355,0.0355,0.0355,0.0355,0
09/02/1960,0.0358,0.0358,0.0358,0.0358,0.0358,0
10/02/1960,0.037,0.037,0.037,0.037,0.037,0
11/02/1960,0.0385,0.0385,0.0385,0.0385,0.0385,0
15/02/1960,0.0396,0.0396,0.0396,0.0396,0.0396,0
16/02/1960,0.0404,0.0404,0.0404,0.0404,0.0404,0
17/02/1960,0.0407,0.0407,0.0407,0.0407,0.0407,0
18/02/1960,0.0404,0.0404,0.0404,0.0404,0.0404,0
19/02/1960,0.0408,0.0408,0.0408,0.0408,0.0408,0
23/02/1960,0.0406,0.0406,0.0406,0.0406,0.0406,0
24/02/1960,0.0413,0.0413,0.0413,0.0413,0.0413,0
25/02/1960,0.0417,0.0417,0.0417,0.0417,0.0417,0
26/02/1960,0.0419,0.0419,0.0419,0.0419,0.0419,0
29/02/1960,0.0419,0.0419,0.0419,0.0419,0.0419,0
01/03/1960,0.0409,0.0409,0.0409,0.0409,0.0409,0
02/03/1960,0.0398,0.0398,0.0398,0.0398,0.0398,0
03/03/1960,0.037,0.037,0.037,0.037,0.037,0
04/03/1960,0.0364,0.0364,0.0364,0.0364,0.0364,0
07/03/1960,0.0354,0.0354,0.0354,0.0354,0.0354,0
08/03/1960,0.0356,0.0356,0.0356,0.0356,0.0356,0
09/03/1960,0.0364,0.0364,0.0364,0.0364,0.0364,0
10/03/1960,0.0366,0.0366,0.0366,0.0366,0.0366,0
11/03/1960,0.0359,0.0359,0.0359,0.0359,0.0359,0
14/03/1960,0.0344,0.0344,0.0344,0.0344,0.0344,0
15/03/1960,0.0346,0.0346,0.0346,0.0346,0.0346,0
16/03/1960,0.0343,0.0343,0.0343,0.0343,0.0343,0
17/03/1960,0.0344,0.0344,0.0344,0.0344,0.0344,0
18/03/1960,0.033,0.033,0.033,0.033,0.033,0
21/03/1960,0.0305,0.0305,0.0305,0.0305,0.0305,0
22/03/1960,0.029,0.029,0.029,0.029,0.029,0
23/03/1960,0.0277,0.0277,0.0277,0.0277,0.0277,0
24/03/1960,0.0282,0.0282,0.0282,0.0282,0.0282,0
25/03/1960,0.0268,0.0268,0.0268,0.0268,0.0268,0
28/03/1960,0.0278,0.0278,0.0278,0.0278,0.0278,0
29/03/1960,0.0283,0.0283,0.0283,0.0283,0.0283,0
30/03/1960,0.0292,0.0292,0.0292,0.0292,0.0292,0
31/03/1960,0.0302,0.0302,0.0302,0.0302,0.0302,0
01/04/1960,0.0284,0.0284,0.0284,0.0284,0.0284,0
04/04/1960,0.0272,0.0272,0.0272,0.0272,0.0272,0
05/04/1960,0.028,0.028,0.028,0.028,0.028,0
06/04/1960,0.0292,0.0292,0.0292,0.0292,0.0292,0
07/04/1960,0.0305,0.0305,0.0305,0.0305,0.0305,0
08/04/1960,0.033,0.033,0.033,0.033,0.033,0
11/04/1960,0.0355,0.0355,0.0355,0.0355,0.0355,0
12/04/1960,0.036,0.036,0.036,0.036,0.036,0
13/04/1960,0.0357,0.0357,0.0357,0.0357,0.0357,0
14/04/1960,0.0352,0.0352,0.0352,0.0352,0.0352,0
18/04/1960,0.0328,0.0328,0.0328,0.0328,0.0328,0
19/04/1960,0.0334,0.0334,0.0334,0.0334,0.0334,0
20/04/1960,0.0334,0.0334,0.0334,0.0334,0.0334,0
21/04/1960,0.0335,0.0335,0.0335,0.0335,0.0335,0
22/04/1960,0.0337,0.0337,0.0337,0.0337,0.0337,0
25/04/1960,0.0326,0.0326,0.0326,0.0326,0.0326,0
26/04/1960,0.0325,0.0325,0.0325,0.0325,0.0325,0
27/04/1960,0.0325,0.0325,0.0325,0.0325,0.0325,0
28/04/1960,0.0316,0.0316,0.0316,0.0316,0.0316,0
29/04/1960,0.0304,0.0304,0.0304,0.0304,0.0304,0
02/05/1960,0.0303,0.0303,0.0303,0.0303,0.0303,0
03/05/1960,0.0314,0.0314,0.0314,0.0314,0.0314,0
04/05/1960,0.0312,0.0312,0.0312,0.0312,0.0312,0
05/05/1960,0.0309,0.0309,0.0309,0.0309,0.0309,0
06/05/1960,0.0304,0.0304,0.0304,0.0304,0.0304,0
09/05/1960,0.0322,0.0322,0.0322,0.0322,0.0322,0
10/05/1960,0.0325,0.0325,0.0325,0.0325,0.0325,0
11/05/1960,0.0331,0.0331,0.0331,0.0331,0.0331,0
12/05/1960,0.0336,0.0336,0.0336,0.0336,0.0336,0
13/05/1960,0.0344,0.0344,0.0344,0.0344,0.0344,0
16/05/1960,0.0362,0.0362,0.0362,0.0362,0.0362,0
17/05/1960,0.0354,0.0354,0.0354,0.0354,0.0354,0
18/05/1960,0.0367,0.0367,0.0367,0.0367,0.0367,0
19/05/1960,0.0342,0.0342,0.0342,0.0342,0.0342,0
20/05/1960,0.0325,0.0325,0.0325,0.0325,0.0325,0
23/05/1960,0.0342,0.0342,0.0342,0.0342,0.0342,0
24/05/1960,0.0336,0.0336,0.0336,0.0336,0.0336,0
25/05/1960,0.0332,0.0332,0.0332,0.0332,0.0332,0
26/05/1960,0.0326,0.0326,0.0326,0.0326,0.0326,0
27/05/1960,0.0309,0.0309,0.0309,0.0309,0.0309,0
31/05/1960,0.0312,0.0312,0.0312,0.0312,0.0312,0
01/06/1960,0.0306,0.0306,0.0306,0.0306,0.0306,0
02/06/1960,0.0292,0.0292,0.0292,0.0292,0.0292,0
03/06/1960,0.0265,0.0265,0.0265,0.0265,0.0265,0
06/06/1960,0.0262,0.0262,0.0262,0.0262,0.0262,0
07/06/1960,0.0268,0.0268,0.0268,0.0268,0.0268,0
08/06/1960,0.0275,0.0275,0.0275,0.0275,0.0275,0
